carId,carAtendimento,carParcelas,carValorParcela,carVencimento,carNumeroParcela,carParcelaStatus,carDataPagamento
405,10137,10,R$ 170.00,05-Feb-17,4,Vencida,
406,10137,10,R$ 170.00,05-Mar-17,5,Vencida,
407,10137,10,R$ 170.00,05-Apr-17,6,Vencida,
408,10137,10,R$ 170.00,05-May-17,7,Vencida,
409,10137,10,R$ 170.00,05-Jun-17,8,Vencida,
410,10137,10,R$ 170.00,05-Jul-17,9,Vencida,
411,10137,10,R$ 170.00,05-Aug-17,10,Vencida,
412,10138,5,R$ 150.00,09-Jan-16,1,Pago com sucesso,09-Jan-16
413,10138,5,R$ 150.00,09-Feb-16,2,Aberta,
414,10138,5,R$ 150.00,09-Mar-16,3,Aberta,
415,10138,5,R$ 150.00,09-Apr-16,4,Aberta,
416,10138,5,R$ 150.00,09-May-16,5,Aberta,
417,10139,7,R$ 145.00,05-Dec-16,1,Pago com sucesso,03-Dec-16
418,10139,7,R$ 145.00,05-Jan-17,2,Pago com sucesso,30-Dec-16
