desFinanceiro,desStatus,desDataPagamento
3154,PAGA,28-May-20
3155,PAGA,28-May-20
3156,PAGA,29-May-20
3157,PAGA,29-May-20
3180,PAGA,09-Jun-20
3181,PAGA,10-Jun-20
3182,PAGA,11-Jun-20
3183,PAGA,12-Jun-20
3184,PAGA,19-Jun-20
3185,PAGA,19-Jun-20
3186,PAGA,22-Jun-20
3187,PAGA,22-Apr-20
3188,PAGA,25-Jun-20
3207,PAGA,26-Jun-20
3208,PAGA,30-Jun-20
3245,PAGA,06-Jul-20
3246,PAGA,07-Jul-20
3247,PAGA,07-Jul-20
3248,PAGA,09-Jul-20
3249,PAGA,09-Jul-20
3250,PAGA,10-Jul-20
3251,PAGA,10-Jul-20
3252,PAGA,13-Jul-20
3253,PAGA,13-Jul-20
3254,PAGA,14-Jul-20
3255,PAGA,17-Jul-20
3256,PAGA,20-Jul-20
3257,PAGA,20-Jul-20
3258,PAGA,20-Jul-20
3259,PAGA,22-Jul-20
3260,PAGA,24-Jul-20
3261,PAGA,24-Jul-20
3262,PAGA,27-Jul-20
3286,PAGA,31-Jul-20
3287,PAGA,31-Jul-20
3288,PAGA,31-Jul-20
3298,PAGA,03-Aug-20
3299,PAGA,04-Aug-20
3301,PAGA,07-Aug-20
3302,PAGA,07-Aug-20
3303,PAGA,10-Aug-20
3304,PAGA,10-Aug-20
3305,PAGA,10-Aug-20
3306,PAGA,11-Aug-20
3307,PAGA,11-Aug-20
3308,PAGA,11-Aug-20
3323,PAGA,03-Aug-20
3324,PAGA,04-Aug-20
3325,PAGA,07-Aug-20
3326,PAGA,07-Aug-20
3327,PAGA,10-Aug-20
3328,PAGA,10-Aug-20
3329,PAGA,10-Aug-20
3330,PAGA,10-Aug-20
3331,PAGA,11-Aug-20
3332,PAGA,11-Aug-20
3333,PAGA,11-Aug-20
3334,PAGA,17-Aug-20
3335,PAGA,17-Aug-20
3405,PAGA,20-Aug-20
3406,PAGA,20-Aug-20
3407,PAGA,21-Aug-20
3408,PAGA,21-Aug-20
3409,PAGA,21-Aug-20
3412,PAGA,24-Aug-20
3413,PAGA,24-Aug-20
3414,PAGA,28-Aug-20
3415,PAGA,31-Aug-20
3416,PAGA,03-Sep-20
3417,PAGA,03-Sep-20
3418,PAGA,04-Sep-20
3419,PAGA,09-Sep-20
3420,PAGA,09-Sep-20
3421,PAGA,10-Sep-20
3422,PAGA,10-Sep-20
3423,PAGA,11-Sep-20
3424,PAGA,11-Sep-20
3425,PAGA,14-Sep-20
3426,PAGA,14-Sep-20
3427,PAGA,15-Sep-20
3428,PAGA,15-Sep-20
3429,PAGA,16-Sep-20
3430,PAGA,17-Sep-20
3431,PAGA,17-Sep-20
3432,PAGA,18-Sep-20
3433,PAGA,18-Sep-20
3434,PAGA,21-Sep-20
3435,PAGA,21-Sep-20
3436,PAGA,21-Sep-20
3437,PAGA,22-Sep-20
3438,PAGA,25-Sep-20
3439,PAGA,28-Sep-20
3440,PAGA,31-Aug-20
3441,PAGA,30-Sep-20
3500,PAGA,25-Sep-20
3501,PAGA,05-Oct-20
3502,PAGA,05-Oct-20
3503,PAGA,05-Oct-20
3504,PAGA,08-Oct-20
3505,PAGA,08-Oct-20
3506,PAGA,09-Oct-20
3507,PAGA,09-Oct-20
3508,PAGA,13-Oct-20
3509,PAGA,13-Oct-20
3510,PAGA,13-Oct-20
3511,PAGA,14-Oct-20
3512,PAGA,15-Oct-20
3513,PAGA,15-Oct-20
3514,PAGA,16-Oct-20
3515,PAGA,19-Oct-20
3516,PAGA,20-Oct-20
3517,PAGA,20-Oct-20
3518,PAGA,23-Oct-20
3519,PAGA,23-Oct-20
3520,PAGA,27-Oct-20
3521,PAGA,20-Nov-20
3523,PAGA,08-Oct-20
3528,PAGA,08-Oct-20
3529,PAGA,30-Oct-20
3530,PAGA,03-Nov-20
3531,PAGA,03-Nov-20
