[2026-09-22T20:19:52.969Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-22T20:20:11.301Z] INCONSISTÊNCIA FINANCEIRA venda=10288 calculado=990.00 ateTotal=945.00
[2026-09-22T20:20:11.441Z] INCONSISTÊNCIA FINANCEIRA venda=10290 calculado=1200.00 ateTotal=850.00
[2026-09-22T20:20:11.514Z] INCONSISTÊNCIA FINANCEIRA venda=10291 calculado=660.00 ateTotal=550.00
[2026-09-22T20:20:11.588Z] INCONSISTÊNCIA FINANCEIRA venda=10292 calculado=870.00 ateTotal=840.00
[2026-09-22T20:20:11.663Z] INCONSISTÊNCIA FINANCEIRA venda=10293 calculado=810.00 ateTotal=660.00
[2026-09-22T20:20:11.730Z] INCONSISTÊNCIA FINANCEIRA venda=10294 calculado=690.00 ateTotal=675.00
[2026-09-22T20:20:11.872Z] INCONSISTÊNCIA FINANCEIRA venda=10296 calculado=960.00 ateTotal=780.00
[2026-09-22T20:20:11.944Z] INCONSISTÊNCIA FINANCEIRA venda=10297 calculado=910.00 ateTotal=800.00
[2026-09-22T20:20:12.017Z] INCONSISTÊNCIA FINANCEIRA venda=10298 calculado=500.00 ateTotal=360.00
[2026-09-22T20:20:12.089Z] INCONSISTÊNCIA FINANCEIRA venda=10299 calculado=400.00 ateTotal=390.00
[2026-09-22T20:20:12.231Z] INCONSISTÊNCIA FINANCEIRA venda=10301 calculado=550.00 ateTotal=500.00
[2026-09-22T20:20:12.378Z] INCONSISTÊNCIA FINANCEIRA venda=10303 calculado=652.00 ateTotal=450.00
[2026-09-22T20:20:12.447Z] INCONSISTÊNCIA FINANCEIRA venda=10304 calculado=972.00 ateTotal=880.00
[2026-09-22T20:20:12.520Z] INCONSISTÊNCIA FINANCEIRA venda=10305 calculado=720.00 ateTotal=580.00
[2026-09-22T20:20:12.913Z] INCONSISTÊNCIA FINANCEIRA venda=10311 calculado=1470.00 ateTotal=990.00
[2026-09-22T20:20:12.984Z] INCONSISTÊNCIA FINANCEIRA venda=10312 calculado=970.00 ateTotal=750.00
[2026-09-22T20:20:13.055Z] INCONSISTÊNCIA FINANCEIRA venda=10313 calculado=960.00 ateTotal=900.00
[2026-09-22T20:20:13.130Z] INCONSISTÊNCIA FINANCEIRA venda=10314 calculado=810.00 ateTotal=600.00
[2026-09-22T20:20:13.354Z] INCONSISTÊNCIA FINANCEIRA venda=10317 calculado=890.00 ateTotal=810.00
[2026-09-22T20:20:13.423Z] INCONSISTÊNCIA FINANCEIRA venda=10318 calculado=910.00 ateTotal=750.00
[2026-09-22T20:20:13.488Z] INCONSISTÊNCIA FINANCEIRA venda=10319 calculado=960.00 ateTotal=810.00
[2026-09-22T20:20:13.624Z] INCONSISTÊNCIA FINANCEIRA venda=10321 calculado=952.00 ateTotal=850.00
[2026-09-22T20:20:13.693Z] INCONSISTÊNCIA FINANCEIRA venda=10322 calculado=1040.00 ateTotal=700.00
[2026-09-22T20:20:13.761Z] INCONSISTÊNCIA FINANCEIRA venda=10323 calculado=510.00 ateTotal=350.00
[2026-09-22T20:20:13.831Z] INCONSISTÊNCIA FINANCEIRA venda=10324 calculado=890.00 ateTotal=500.00
[2026-09-22T20:20:14.147Z] INCONSISTÊNCIA FINANCEIRA venda=10328 calculado=930.00 ateTotal=900.00
[2026-09-22T20:20:14.285Z] INCONSISTÊNCIA FINANCEIRA venda=10330 calculado=910.00 ateTotal=680.00
[2026-09-22T20:20:14.352Z] INCONSISTÊNCIA FINANCEIRA venda=10331 calculado=710.00 ateTotal=660.00
[2026-09-22T20:20:14.421Z] INCONSISTÊNCIA FINANCEIRA venda=10332 calculado=1260.00 ateTotal=922.00
[2026-09-22T20:20:14.491Z] INCONSISTÊNCIA FINANCEIRA venda=10333 calculado=964.00 ateTotal=900.00
[2026-09-22T20:20:14.563Z] INCONSISTÊNCIA FINANCEIRA venda=10334 calculado=670.00 ateTotal=620.00
[2026-09-22T20:20:14.633Z] INCONSISTÊNCIA FINANCEIRA venda=10335 calculado=480.00 ateTotal=230.00
[2026-09-22T20:20:14.704Z] INCONSISTÊNCIA FINANCEIRA venda=10336 calculado=710.00 ateTotal=450.00
[2026-09-22T20:20:14.776Z] INCONSISTÊNCIA FINANCEIRA venda=10337 calculado=910.00 ateTotal=700.00
[2026-09-22T20:20:14.847Z] INCONSISTÊNCIA FINANCEIRA venda=10338 calculado=390.00 ateTotal=340.00
[2026-09-22T20:20:14.913Z] INCONSISTÊNCIA FINANCEIRA venda=10339 calculado=372.00 ateTotal=325.00
[2026-09-22T20:20:14.980Z] INCONSISTÊNCIA FINANCEIRA venda=10340 calculado=1340.00 ateTotal=1300.00
[2026-09-22T20:20:15.049Z] INCONSISTÊNCIA FINANCEIRA venda=10341 calculado=400.00 ateTotal=300.00
[2026-09-22T20:20:15.117Z] INCONSISTÊNCIA FINANCEIRA venda=10342 calculado=480.00 ateTotal=230.00
[2026-09-22T20:20:15.184Z] INCONSISTÊNCIA FINANCEIRA venda=10343 calculado=360.00 ateTotal=200.00
[2026-09-22T20:20:15.248Z] INCONSISTÊNCIA FINANCEIRA venda=10344 calculado=770.00 ateTotal=680.00
[2026-09-22T20:20:15.315Z] INCONSISTÊNCIA FINANCEIRA venda=10345 calculado=980.00 ateTotal=900.00
[2026-09-22T20:20:15.381Z] INCONSISTÊNCIA FINANCEIRA venda=10346 calculado=680.00 ateTotal=500.00
[2026-09-22T20:20:15.447Z] INCONSISTÊNCIA FINANCEIRA venda=10347 calculado=550.00 ateTotal=400.00
[2026-09-22T20:20:15.514Z] INCONSISTÊNCIA FINANCEIRA venda=10348 calculado=890.00 ateTotal=700.00
[2026-09-22T20:20:15.580Z] INCONSISTÊNCIA FINANCEIRA venda=10349 calculado=500.00 ateTotal=155.00
[2026-09-22T20:20:15.647Z] INCONSISTÊNCIA FINANCEIRA venda=10350 calculado=950.00 ateTotal=650.00
