prodId,prodNome,prodMarca,prodPrecoCompra,prodPrecoVenda,prodPercentual,prodQtd,prodTipo
195,ARMAÇÃO NYLON,93,"175,00","350,00",100,1,PRODUTO
196,ARMAÇÃO ACETATO,94,"210,00","420,00",100,4,PRODUTO
198,ARMAÇÃO NYLON,82,"185,00","370,00",100,4,PRODUTO
199,SALDO DEVEDOR 2014,92,"420,00","420,04","0,01",1,PRODUTO
200,LENTE VS HAYTEK1.56 AR,88,"260,00","520,00",100,11,PRODUTO
201,LENTE HOYA VS1.50 AR CE,51,"350,00","700,00",100,14,PRODUTO
202,RENEGOCIAÇÃO,92,"600,00","600,00",0,1,PRODUTO
203,ARMAÇÃO DETROIT,37,"190,00","380,00",100,9,PRODUTO
204,ARMAÇÃO NYLON,94,"190,00","380,00",100,2,PRODUTO
205,ARMAÇÃO NYLON,5,"160,00","320,00",100,0,PRODUTO
206,JEAN MONIER SOLAR,2,"310,00","620,00",100,8,PRODUTO
207,ARMAÇÃO NYLON,95,"175,00","350,00",100,1,PRODUTO
208,ARMAÇÃO NYLON,42,"210,00","420,00",100,3,PRODUTO
209,LENTE VS1.50 TRANSIT AR C4,51,"495,00","990,00",100,3,PRODUTO
