[2026-09-18T18:22:33.242Z] Iniciando migration 04-sale | DRY_RUN=true
[2026-09-18T18:22:50.562Z] INCONSISTÊNCIA FINANCEIRA venda=10270 calculado=1370.00 ateTotal=1340.00
[2026-09-18T18:22:50.630Z] INCONSISTÊNCIA FINANCEIRA venda=10271 calculado=940.00 ateTotal=845.00
[2026-09-18T18:22:50.697Z] INCONSISTÊNCIA FINANCEIRA venda=10272 calculado=760.00 ateTotal=500.00
[2026-09-18T18:22:50.764Z] INCONSISTÊNCIA FINANCEIRA venda=10273 calculado=1322.00 ateTotal=1110.00
[2026-09-18T18:22:50.831Z] INCONSISTÊNCIA FINANCEIRA venda=10274 calculado=1250.00 ateTotal=1200.00
[2026-09-18T18:22:50.898Z] INCONSISTÊNCIA FINANCEIRA venda=10275 calculado=2330.00 ateTotal=2295.00
[2026-09-18T18:22:50.964Z] INCONSISTÊNCIA FINANCEIRA venda=10276 calculado=960.00 ateTotal=900.00
[2026-09-18T18:22:51.034Z] INCONSISTÊNCIA FINANCEIRA venda=10277 calculado=360.00 ateTotal=270.00
[2026-09-18T18:22:51.101Z] INCONSISTÊNCIA FINANCEIRA venda=10278 calculado=290.00 ateTotal=250.00
[2026-09-18T18:22:51.172Z] INCONSISTÊNCIA FINANCEIRA venda=10279 calculado=1822.00 ateTotal=1300.00
[2026-09-18T18:22:51.239Z] INCONSISTÊNCIA FINANCEIRA venda=10280 calculado=1190.00 ateTotal=1170.00
[2026-09-18T18:22:51.306Z] INCONSISTÊNCIA FINANCEIRA venda=10281 calculado=1010.00 ateTotal=500.00
[2026-09-18T18:22:51.379Z] INCONSISTÊNCIA FINANCEIRA venda=10283 calculado=760.00 ateTotal=500.00
[2026-09-18T18:22:51.448Z] INCONSISTÊNCIA FINANCEIRA venda=10284 calculado=830.00 ateTotal=810.00
[2026-09-18T18:22:51.548Z] INCONSISTÊNCIA FINANCEIRA venda=10285 calculado=1370.00 ateTotal=1300.00
[2026-09-18T18:22:51.620Z] INCONSISTÊNCIA FINANCEIRA venda=10286 calculado=754.21 ateTotal=2640.00
[2026-09-18T18:22:51.688Z] INCONSISTÊNCIA FINANCEIRA venda=10287 calculado=200.00 ateTotal=100.00
[2026-09-18T18:22:51.758Z] INCONSISTÊNCIA FINANCEIRA venda=10288 calculado=990.00 ateTotal=945.00
[2026-09-18T18:22:51.899Z] INCONSISTÊNCIA FINANCEIRA venda=10290 calculado=1.20 ateTotal=850.00
[2026-09-18T18:22:51.972Z] INCONSISTÊNCIA FINANCEIRA venda=10291 calculado=660.00 ateTotal=550.00
[2026-09-18T18:22:52.044Z] INCONSISTÊNCIA FINANCEIRA venda=10292 calculado=870.00 ateTotal=840.00
[2026-09-18T18:22:52.114Z] INCONSISTÊNCIA FINANCEIRA venda=10293 calculado=810.00 ateTotal=660.00
[2026-09-18T18:22:52.190Z] INCONSISTÊNCIA FINANCEIRA venda=10294 calculado=690.00 ateTotal=675.00
[2026-09-18T18:22:52.332Z] INCONSISTÊNCIA FINANCEIRA venda=10296 calculado=960.00 ateTotal=780.00
[2026-09-18T18:22:52.400Z] INCONSISTÊNCIA FINANCEIRA venda=10297 calculado=910.00 ateTotal=800.00
[2026-09-18T18:22:52.468Z] INCONSISTÊNCIA FINANCEIRA venda=10298 calculado=500.00 ateTotal=360.00
[2026-09-18T18:22:52.537Z] INCONSISTÊNCIA FINANCEIRA venda=10299 calculado=400.00 ateTotal=390.00
[2026-09-18T18:22:52.671Z] INCONSISTÊNCIA FINANCEIRA venda=10301 calculado=550.00 ateTotal=500.00
[2026-09-18T18:22:52.806Z] INCONSISTÊNCIA FINANCEIRA venda=10303 calculado=652.00 ateTotal=450.00
[2026-09-18T18:22:52.875Z] INCONSISTÊNCIA FINANCEIRA venda=10304 calculado=972.00 ateTotal=880.00
[2026-09-18T18:22:52.946Z] INCONSISTÊNCIA FINANCEIRA venda=10305 calculado=720.00 ateTotal=580.00
[2026-09-18T18:22:53.292Z] INCONSISTÊNCIA FINANCEIRA venda=10311 calculado=1470.00 ateTotal=990.00
[2026-09-18T18:22:53.361Z] INCONSISTÊNCIA FINANCEIRA venda=10312 calculado=970.00 ateTotal=750.00
[2026-09-18T18:22:53.434Z] INCONSISTÊNCIA FINANCEIRA venda=10313 calculado=960.00 ateTotal=900.00
[2026-09-18T18:22:53.509Z] INCONSISTÊNCIA FINANCEIRA venda=10314 calculado=810.00 ateTotal=600.00
[2026-09-18T18:22:53.718Z] INCONSISTÊNCIA FINANCEIRA venda=10317 calculado=890.00 ateTotal=810.00
[2026-09-18T18:22:53.786Z] INCONSISTÊNCIA FINANCEIRA venda=10318 calculado=910.00 ateTotal=750.00
[2026-09-18T18:22:53.855Z] INCONSISTÊNCIA FINANCEIRA venda=10319 calculado=960.00 ateTotal=810.00
[2026-09-18T18:22:53.997Z] INCONSISTÊNCIA FINANCEIRA venda=10321 calculado=952.00 ateTotal=850.00
[2026-09-18T18:22:54.066Z] INCONSISTÊNCIA FINANCEIRA venda=10322 calculado=1040.00 ateTotal=700.00
[2026-09-18T18:22:54.139Z] INCONSISTÊNCIA FINANCEIRA venda=10323 calculado=510.00 ateTotal=350.00
[2026-09-18T18:22:54.208Z] INCONSISTÊNCIA FINANCEIRA venda=10324 calculado=890.00 ateTotal=500.00
[2026-09-18T18:22:54.484Z] INCONSISTÊNCIA FINANCEIRA venda=10328 calculado=930.00 ateTotal=900.00
[2026-09-18T18:22:54.553Z] INCONSISTÊNCIA FINANCEIRA venda=10329 calculado=1.10 ateTotal=1100.00
[2026-09-18T18:22:54.628Z] INCONSISTÊNCIA FINANCEIRA venda=10330 calculado=910.00 ateTotal=680.00
[2026-09-18T18:22:54.697Z] INCONSISTÊNCIA FINANCEIRA venda=10331 calculado=710.00 ateTotal=660.00
[2026-09-18T18:22:54.777Z] INCONSISTÊNCIA FINANCEIRA venda=10332 calculado=1260.00 ateTotal=922.00
[2026-09-18T18:22:54.847Z] INCONSISTÊNCIA FINANCEIRA venda=10333 calculado=964.00 ateTotal=900.00
[2026-09-18T18:22:54.916Z] INCONSISTÊNCIA FINANCEIRA venda=10334 calculado=670.00 ateTotal=620.00
[2026-09-18T18:22:54.983Z] INCONSISTÊNCIA FINANCEIRA venda=10335 calculado=480.00 ateTotal=230.00
[2026-09-18T18:22:55.052Z] INCONSISTÊNCIA FINANCEIRA venda=10336 calculado=710.00 ateTotal=450.00
[2026-09-18T18:22:55.168Z] INCONSISTÊNCIA FINANCEIRA venda=10337 calculado=910.00 ateTotal=700.00
[2026-09-18T18:22:55.287Z] INCONSISTÊNCIA FINANCEIRA venda=10338 calculado=390.00 ateTotal=340.00
[2026-09-18T18:22:55.391Z] INCONSISTÊNCIA FINANCEIRA venda=10339 calculado=372.00 ateTotal=325.00
[2026-09-18T18:22:55.544Z] INCONSISTÊNCIA FINANCEIRA venda=10340 calculado=1340.00 ateTotal=1300.00
[2026-09-18T18:22:55.669Z] INCONSISTÊNCIA FINANCEIRA venda=10341 calculado=400.00 ateTotal=300.00
[2026-09-18T18:22:55.817Z] INCONSISTÊNCIA FINANCEIRA venda=10342 calculado=480.00 ateTotal=230.00
