prodId,name,reason
502,LENTE VS HAYTEK 1.56 FOTO AR,já existe
503,LENTE P GRAND VIEW1.50 TRANST / AR,já existe
504,LENTE VS HAYTEK 1.56 INC.,já existe
505,LENTE VS1.50 SURF SENSITY AR -10+8C-4,já existe
506,ARMAÇÃO ACETATO,já existe
509,ARMAÇÃO Z FORA DE LINHA,já existe
510,ARMAÇÃO Z FORA DE LINHA,já existe
511,LENTE VS1.67 AR VISION EASE,já existe
515,RENEGOCIAÇÃO,já existe
516,ARMAÇÃO Z FORA DE LINHA,já existe
517,LENTE VS1.67 FOTOFUSION -18+12C-4,já existe
518,LENTE VS1.59 FOTO -10+7 C-6,já existe
519,LENTE VS1.60 SURF AR  C-4,já existe
520,LENTE VS1.60 SURF SOLAR C4,já existe
521,VARILUX LIBERTY ORMA AR EASY CLEAN,já existe
522,LENTE SOLAR MARRON PLANA,já existe
523,ARMAÇÃO NYLON FL,já existe
525,ARMAÇÃO Z FORA DE LINHA,já existe
526,ARMAÇÃO IMOLA,já existe
528,LENTE PR NO LINE INC,já existe
529,LENTE VS1.50 ACABADA FOTOFUSION,já existe
530,LENTE VS1.50 HOYA SENSITY LL/BC,já existe
531,LENTE VS1.59 ACABADA / AR -4+4C-2,já existe
532,LENTE VS1.56 FOTO AR,já existe
533,LENTE P HOYALUX WIDE BKS PRO 1.67 SENSITY AR,já existe
534,LENTE BIF. BIOVIS FOTO,já existe
535,LENTE PR1.50 ARGOS TF SENSITY AR,já existe
536,ATUALIZAR PRODUTO2,já existe
537,LENTE P OPTI PRIME 1.56 FOTO,já existe
538,LENTE P 1.56 INC,já existe
539,LENTE P SOLAMAX 1.67 FOTOFUSION,já existe
541,LENTE P 1.56 BYVISION AR ACABADA,já existe
542,LENTE PR1.50 FOTO AR,já existe
543,LENTE VS1.59 INCOLOR,já existe
544,LENTE ARGOS 1.50 SENSITY AR BC,já existe
545,LENTE BIF. BIOVIS INC,já existe
546,ARMAÇÃO FIAMMA,já existe
547,ARMAÇÃO URBAN,já existe
549,LENTE PR 1.50 FOTO,já existe
551,LENTE VS1.67 AR,já existe
552,LENTE VS1.50 AR,já existe
553,LENTE PR 1.50 INC,já existe
554,ARMAÇÃO METAL,já existe
555,LENTE BIF. BIOVIS FOTO,já existe
556,LENTE VS1.56 FOTO AR,já existe
557,ARMAÇÃO ACETATO,já existe
558,LENTE PR ESPACE1.5 ACLIMATES,já existe
559,LENTE VS1.50 INC,já existe
560,LENTE PR ESPACE 1.50 INC,já existe
561,LENTE VS1.67 AR BC,já existe
563,LENTE VS1.50 INCOLOR,já existe
564,LENTE PR NO LINE INCOLOR,já existe
566,LENTE AMPLUS 1.59 SENSITY,já existe
567,LENTE PR FREE LINE PLUS ACAB,já existe
568,LENTE VS1.49 FOTO / AR,já existe
